cmd_vel_lin_x,cmd_vel_lin_y,cmd_vel_ang_z
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.500000,0.000000,0.093735
0.500000,0.000000,0.093735
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.500000,0.000000,0.093735
0.500000,0.000000,0.093735
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.479484,0.000000,-0.558037
0.479484,0.000000,-0.558037
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.479484,0.000000,-0.558037
0.479484,0.000000,-0.558037
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.421476,0.000000,0.080250
0.421476,0.000000,0.080250
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.479484,0.000000,-0.558037
0.479484,0.000000,-0.558037
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.421476,0.000000,0.080250
0.421476,0.000000,0.080250
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.479484,0.000000,-0.558037
0.479484,0.000000,-0.558037
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.500000,0.000000,0.093735
0.500000,0.000000,0.093735
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.500000,0.000000,0.093735
0.500000,0.000000,0.093735
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.479484,0.000000,-0.558037
0.479484,0.000000,-0.558037
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.479484,0.000000,-0.558037
0.479484,0.000000,-0.558037
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.421476,0.000000,0.080250
0.421476,0.000000,0.080250
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.479484,0.000000,-0.558037
0.479484,0.000000,-0.558037
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.421476,0.000000,0.080250
0.421476,0.000000,0.080250
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.479484,0.000000,-0.558037
0.479484,0.000000,-0.558037
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
